,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,station zone,casual,registered,cnt
35,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,Arlington,2,29,31
36,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,Washington NE,6,87,93
37,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,Washington NW,54,694,748
38,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,Washington SE,4,44,48
39,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,Washington SW,2,17,19
40,2011-01-09,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,Arlington,2,29,31
41,2011-01-09,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,Washington NE,7,77,84
42,2011-01-09,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,Washington NW,41,546,587
43,2011-01-09,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,Washington SE,0,74,74
44,2011-01-09,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,Washington SW,4,22,26
45,2011-01-10,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,Arlington,2,64,66
46,2011-01-10,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,Washington NE,2,133,135
47,2011-01-10,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,Washington NW,35,932,967
48,2011-01-10,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,Washington SE,2,82,84
49,2011-01-10,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,Washington SW,0,46,46
50,2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,Arlington,0,61,61
51,2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,Washington NE,3,121,124
52,2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,Washington NW,34,882,916
53,2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,Washington SE,3,71,74
54,2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,Washington SW,3,53,56
55,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,Arlington,0,51,51
56,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,Washington NE,2,95,97
57,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,Washington NW,21,840,861
58,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,Washington SE,2,83,85
59,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,Washington SW,0,47,47
60,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,Arlington,1,64,65
61,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,Washington NE,1,142,143
62,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,Washington NW,34,986,1020
63,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,Washington SE,1,95,96
64,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,Washington SW,0,59,59
65,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,Arlington,1,63,64
66,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,Washington NE,5,125,130
67,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,Washington NW,47,1033,1080
68,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,Washington SE,0,66,66
69,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,Washington SW,1,43,44
70,2011-01-15,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,Arlington,5,54,59
71,2011-01-15,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,Washington NE,24,106,130
72,2011-01-15,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,Washington NW,156,737,893
73,2011-01-15,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,Washington SE,22,87,109
74,2011-01-15,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,Washington SW,15,34,49
75,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,Arlington,10,34,44
76,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,Washington NE,16,100,116
77,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,Washington NW,196,713,909
78,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,Washington SE,17,70,87
79,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,Washington SW,12,20,32
80,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,Arlington,4,28,32
81,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,Washington NE,16,85,101
82,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,Washington NW,78,686,764
83,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,Washington SE,5,55,60
84,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,Washington SW,14,22,36
85,2011-01-18,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,Arlington,0,26,26
86,2011-01-18,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,Washington NE,0,56,56
87,2011-01-18,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,Washington NW,7,526,533
88,2011-01-18,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,Washington SE,2,40,42
89,2011-01-18,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,Washington SW,0,15,15
90,2011-01-19,1,0,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,Arlington,3,54,57
91,2011-01-19,1,0,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,Washington NE,6,133,139
92,2011-01-19,1,0,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,Washington NW,58,1215,1273
93,2011-01-19,1,0,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,Washington SE,7,85,92
94,2011-01-19,1,0,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,Washington SW,4,66,70
95,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,Arlington,0,86,86
96,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,Washington NE,11,167,178
97,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,Washington NW,61,1386,1447
98,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,Washington SE,8,108,116
99,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,Washington SW,1,68,69
100,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,Arlington,0,64,64
101,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,Washington NE,4,132,136
102,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,Washington NW,62,1122,1184
103,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,Washington SE,3,87,90
104,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,Washington SW,4,44,48
105,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,Arlington,0,31,31
106,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,Washington NE,8,91,99
107,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,Washington NW,78,642,720
108,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,Washington SE,7,92,99
109,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,Washington SW,0,20,20
110,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,Arlington,1,39,40
111,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,Washington NE,4,72,76
112,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,Washington NW,130,641,771
113,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,Washington SE,12,61,73
114,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,Washington SW,3,14,17
115,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,Arlington,2,53,55
116,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,Washington NE,3,154,157
117,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,Washington NW,80,973,1053
118,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,Washington SE,1,98,99
119,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,Washington SW,0,41,41
120,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,Arlington,0,51,51
121,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,Washington NE,7,160,167
122,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,Washington NW,171,1394,1565
123,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,Washington SE,3,118,121
124,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,Washington SW,5,62,67
125,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,Arlington,0,20,20
126,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,Washington NE,3,33,36
127,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,Washington NW,30,373,403
128,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,Washington SE,1,20,21
129,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,Washington SW,0,20,20
130,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,Arlington,1,14,15
131,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,Washington NE,3,32,35
132,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,Washington NW,11,318,329
133,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,Washington SE,0,31,31
134,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,Washington SW,0,14,14
135,2011-01-28,1,0,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,Arlington,1,43,44
136,2011-01-28,1,0,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,Washington NE,10,111,121
137,2011-01-28,1,0,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,Washington NW,26,846,872
138,2011-01-28,1,0,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,Washington SE,1,69,70
139,2011-01-28,1,0,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,Washington SW,0,44,44
140,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,Arlington,4,31,35
141,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,Washington NE,13,86,99
142,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,Washington NW,94,737,831
143,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,Washington SE,4,79,83
144,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,Washington SW,8,14,22
145,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,Arlington,0,34,34
146,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,Washington NE,14,105,119
147,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,Washington NW,109,714,823
148,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,Washington SE,13,67,80
149,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,Washington SW,4,24,28
150,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,Arlington,0,66,66
151,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,Washington NE,8,128,136
152,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,Washington NW,29,1025,1054
153,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,Washington SE,4,94,98
154,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,Washington SW,1,63,64
155,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,Arlington,0,51,51
156,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,Washington NE,11,112,123
157,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,Washington NW,33,966,999
158,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,Washington SE,0,100,100
159,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,Washington SW,3,55,58
160,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,Arlington,0,59,59
161,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,Washington NE,5,138,143
162,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,Washington NW,61,1081,1142
163,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,Washington SE,4,97,101
164,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,Washington SW,2,55,57
165,2011-02-03,1,0,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,Arlington,0,57,57
166,2011-02-03,1,0,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,Washington NE,3,131,134
167,2011-02-03,1,0,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,Washington NW,56,1127,1183
168,2011-02-03,1,0,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,Washington SE,2,103,105
169,2011-02-03,1,0,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,Washington SW,0,55,55
170,2011-02-04,1,0,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,Arlington,3,69,72
171,2011-02-04,1,0,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,Washington NE,5,173,178
172,2011-02-04,1,0,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,Washington NW,73,1200,1273
173,2011-02-04,1,0,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,Washington SE,4,111,115
174,2011-02-04,1,0,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,Washington SW,3,50,53
175,2011-02-05,1,0,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,Arlington,0,59,59
176,2011-02-05,1,0,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,Washington NE,13,104,117
177,2011-02-05,1,0,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,Washington NW,65,636,701
178,2011-02-05,1,0,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,Washington SE,14,80,94
179,2011-02-05,1,0,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,Washington SW,8,13,21
180,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,Arlington,6,61,67
181,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,Washington NE,36,123,159
182,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,Washington NW,266,937,1203
183,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,Washington SE,22,103,125
184,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,Washington SW,24,25,49
185,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,Arlington,3,68,71
186,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,Washington NE,8,172,180
187,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,Washington NW,99,1169,1268
188,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,Washington SE,4,104,108
189,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,Washington SW,5,55,60
190,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,Arlington,0,77,77
191,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,Washington NE,5,151,156
192,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,Washington NW,57,1082,1139
193,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,Washington SE,2,86,88
194,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,Washington SW,0,50,50
195,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,Arlington,0,80,80
196,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,Washington NE,7,172,179
197,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,Washington NW,40,1125,1165
198,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,Washington SE,2,108,110
199,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,Washington SW,3,55,58
200,2011-02-10,1,0,2,0,4,1,1,0.144348,0.14954800000000001,0.437391,0.221935,Arlington,3,66,69
201,2011-02-10,1,0,2,0,4,1,1,0.144348,0.14954800000000001,0.437391,0.221935,Washington NE,3,163,166
202,2011-02-10,1,0,2,0,4,1,1,0.144348,0.14954800000000001,0.437391,0.221935,Washington NW,34,1106,1140
203,2011-02-10,1,0,2,0,4,1,1,0.144348,0.14954800000000001,0.437391,0.221935,Washington SE,3,85,88
204,2011-02-10,1,0,2,0,4,1,1,0.144348,0.14954800000000001,0.437391,0.221935,Washington SW,3,54,57
205,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,Arlington,9,66,75
206,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,Washington NE,12,157,169
207,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,Washington NW,115,1210,1325
208,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,Washington SE,7,93,100
209,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,Washington SW,5,50,55
210,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,Arlington,7,30,37
211,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,Washington NE,37,121,158
212,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,Washington NW,201,908,1109
213,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,Washington SE,14,82,96
214,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,Washington SW,29,26,55
215,2011-02-13,1,0,2,0,0,0,1,0.31652199999999997,0.324113,0.457391,0.260883,Arlington,4,59,63
216,2011-02-13,1,0,2,0,0,0,1,0.31652199999999997,0.324113,0.457391,0.260883,Washington NE,47,120,167
217,2011-02-13,1,0,2,0,0,0,1,0.31652199999999997,0.324113,0.457391,0.260883,Washington NW,290,868,1158
218,2011-02-13,1,0,2,0,0,0,1,0.31652199999999997,0.324113,0.457391,0.260883,Washington SE,22,95,117
219,2011-02-13,1,0,2,0,0,0,1,0.31652199999999997,0.324113,0.457391,0.260883,Washington SW,33,20,53
220,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,Arlington,3,71,74
221,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,Washington NE,14,179,193
222,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,Washington NW,171,1274,1445
223,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,Washington SE,8,97,105
224,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,Washington SW,11,64,75
225,2011-02-15,1,0,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,Arlington,2,85,87
226,2011-02-15,1,0,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,Washington NE,5,158,163
227,2011-02-15,1,0,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,Washington NW,119,1226,1345
228,2011-02-15,1,0,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,Washington SE,6,101,107
229,2011-02-15,1,0,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,Washington SW,7,71,78
230,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,Arlington,11,104,115
231,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,Washington NE,11,191,202
232,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,Washington NW,165,1380,1545
233,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,Washington SE,7,120,127
234,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,Washington SW,24,66,90
235,2011-02-17,1,0,2,0,4,1,1,0.43583299999999997,0.428658,0.505,0.230104,Arlington,11,102,113
236,2011-02-17,1,0,2,0,4,1,1,0.43583299999999997,0.428658,0.505,0.230104,Washington NE,21,200,221
237,2011-02-17,1,0,2,0,4,1,1,0.43583299999999997,0.428658,0.505,0.230104,Washington NW,193,1670,1863
